Number of robot passes: 
396

No Area Row Col.  X      Y     Put FGr Take Angle
127  1   4   19  173.82 101.79  1   1   1   0    
128  1   4   20  182.54 101.79  1   1   1   0    
129  1   4   21  191.26 101.79  1   1   1   0    
130  1   4   22  199.98 101.79  1   1   1   0    
131  1   4   23  208.7  101.79  1   1   1   0    
132  1   4   24  217.42 101.79  1   1   1   0    
133  1   4   25  226.14 101.79  1   1   1   0    
134  1   4   26  234.86 101.79  1   1   1   0    
135  1   4   27  243.59 101.79  1   1   1   0    
136  1   4   28  252.31 101.79  1   1   1   0    
137  1   4   29  261.03 101.79  1   1   1   0    
138  1   4   30  269.75 101.79  1   1   1   0    
139  1   4   31  278.47 101.79  1   1   1   0    
140  1   4   32  287.19 101.79  1   1   1   0    
141  1   4   33  295.91 101.79  1   1   1   0    
142  1   4   34  304.63 101.79  1   1   1   0    
143  1   4   35  313.35 101.79  1   1   1   0    
144  1   4   36  322.08 101.79  1   1   1   0    
145  1   5   1   16.84  126.81  1   1   1   0    
146  1   5   2   25.56  126.81  1   1   1   0    
147  1   5   3   34.28  126.81  1   1   1   0    
148  1   5   4   43     126.81  1   1   1   0    
149  1   5   5   51.72  126.81  1   1   1   0    
150  1   5   6   60.44  126.81  1   1   1   0    
151  1   5   7   69.17  126.81  1   1   1   0    
152  1   5   8   77.89  126.81  1   1   1   0    
153  1   5   9   86.61  126.81  1   1   1   0    
154  1   5   10  95.33  126.81  1   1   1   0    
155  1   5   11  104.05 126.81  1   1   1   0    
156  1   5   12  112.77 126.81  1   1   1   0    
157  1   5   13  121.49 126.81  1   1   1   0    
158  1   5   14  130.21 126.81  1   1   1   0    
159  1   5   15  138.93 126.81  1   1   1   0    
160  1   5   16  147.66 126.81  1   1   1   0    
161  1   5   17  156.38 126.81  1   1   1   0    
162  1   5   18  165.1  126.81  1   1   1   0    
163  1   5   19  173.82 126.81  1   1   1   0    
164  1   5   20  182.54 126.81  1   1   1   0    
165  1   5   21  191.26 126.81  1   1   1   0    
166  1   5   22  199.98 126.81  1   1   1   0    
167  1   5   23  208.7  126.81  1   1   1   0    
168  1   5   24  217.42 126.81  1   1   1   0    
169  1   5   25  226.14 126.81  1   1   1   0    
170  1   5   26  234.86 126.81  1   1   1   0    
171  1   5   27  243.59 126.81  1   1   1   0    
172  1   5   28  252.31 126.81  1   1   1   0    
173  1   5   29  261.03 126.81  1   1   1   0    
174  1   5   30  269.75 126.81  1   1   1   0    
175  1   5   31  278.47 126.81  1   1   1   0    
176  1   5   32  287.19 126.81  1   1   1   0    
177  1   5   33  295.91 126.81  1   1   1   0    
178  1   5   34  304.63 126.81  1   1   1   0    
179  1   5   35  313.35 126.81  1   1   1   0    
180  1   5   36  322.08 126.81  1   1   1   0    
181  1   6   1   16.84  151.82  1   1   1   0    
182  1   6   2   25.56  151.82  1   1   1   0    
183  1   6   3   34.28  151.82  1   1   1   0    
184  1   6   4   43     151.82  1   1   1   0    
185  1   6   5   51.72  151.82  1   1   1   0    
186  1   6   6   60.44  151.82  1   1   1   0    
187  1   6   7   69.17  151.82  1   1   1   0    
188  1   6   8   77.89  151.82  1   1   1   0    
189  1   6   9   86.61  151.82  1   1   1   0    
190  1   6   10  95.33  151.82  1   1   1   0    
191  1   6   11  104.05 151.82  1   1   1   0    
192  1   6   12  112.77 151.82  1   1   1   0    
193  1   6   13  121.49 151.82  1   1   1   0    
194  1   6   14  130.21 151.82  1   1   1   0    
195  1   6   15  138.93 151.82  1   1   1   0    
196  1   6   16  147.66 151.82  1   1   1   0    
197  1   6   17  156.38 151.82  1   1   1   0    
198  1   6   18  165.1  151.82  1   1   1   0    
199  1   6   19  173.82 151.82  1   1   1   0    
200  1   6   20  182.54 151.82  1   1   1   0    
201  1   6   21  191.26 151.82  1   1   1   0    
202  1   6   22  199.98 151.82  1   1   1   0    
203  1   6   23  208.7  151.82  1   1   1   0    
204  1   6   24  217.42 151.82  1   1   1   0    
205  1   6   25  226.14 151.82  1   1   1   0    
206  1   6   26  234.86 151.82  1   1   1   0    
207  1   6   27  243.59 151.82  1   1   1   0    
208  1   6   28  252.31 151.82  1   1   1   0    
209  1   6   29  261.03 151.82  1   1   1   0    
210  1   6   30  269.75 151.82  1   1   1   0    
211  1   6   31  278.47 151.82  1   1   1   0    
212  1   6   32  287.19 151.82  1   1   1   0    
213  1   6   33  295.91 151.82  1   1   1   0    
214  1   6   34  304.63 151.82  1   1   1   0    
215  1   6   35  313.35 151.82  1   1   1   0    
216  1   6   36  322.08 151.82  1   1   1   0    
217  1   7   1   16.84  176.84  1   1   1   0    
218  1   7   2   25.56  176.84  1   1   1   0    
219  1   7   3   34.28  176.84  1   1   1   0    
220  1   7   4   43     176.84  1   1   1   0    
221  1   7   5   51.72  176.84  1   1   1   0    
222  1   7   6   60.44  176.84  1   1   1   0    
223  1   7   7   69.17  176.84  1   1   1   0    
224  1   7   8   77.89  176.84  1   1   1   0    
225  1   7   9   86.61  176.84  1   1   1   0    
226  1   7   10  95.33  176.84  1   1   1   0    
227  1   7   11  104.05 176.84  1   1   1   0    
228  1   7   12  112.77 176.84  1   1   1   0    
229  1   7   13  121.49 176.84  1   1   1   0    
230  1   7   14  130.21 176.84  1   1   1   0    
231  1   7   15  138.93 176.84  1   1   1   0    
232  1   7   16  147.66 176.84  1   1   1   0    
233  1   7   17  156.38 176.84  1   1   1   0    
234  1   7   18  165.1  176.84  1   1   1   0    
235  1   7   19  173.82 176.84  1   1   1   0    
236  1   7   20  182.54 176.84  1   1   1   0    
237  1   7   21  191.26 176.84  1   1   1   0    
238  1   7   22  199.98 176.84  1   1   1   0    
239  1   7   23  208.7  176.84  1   1   1   0    
240  1   7   24  217.42 176.84  1   1   1   0    
241  1   7   25  226.14 176.84  1   1   1   0    
242  1   7   26  234.86 176.84  1   1   1   0    
243  1   7   27  243.59 176.84  1   1   1   0    
244  1   7   28  252.31 176.84  1   1   1   0    
245  1   7   29  261.03 176.84  1   1   1   0    
246  1   7   30  269.75 176.84  1   1   1   0    
247  1   7   31  278.47 176.84  1   1   1   0    
248  1   7   32  287.19 176.84  1   1   1   0    
249  1   7   33  295.91 176.84  1   1   1   0    
250  1   7   34  304.63 176.84  1   1   1   0    
251  1   7   35  313.35 176.84  1   1   1   0    
252  1   7   36  322.08 176.84  1   1   1   0    
253  1   8   1   16.84  201.86  1   1   1   0    
254  1   8   2   25.56  201.86  1   1   1   0    
255  1   8   3   34.28  201.86  1   1   1   0    
256  1   8   4   43     201.86  1   1   1   0    
257  1   8   5   51.72  201.86  1   1   1   0    
258  1   8   6   60.44  201.86  1   1   1   0    
259  1   8   7   69.17  201.86  1   1   1   0    
260  1   8   8   77.89  201.86  1   1   1   0    
261  1   8   9   86.61  201.86  1   1   1   0    
262  1   8   10  95.33  201.86  1   1   1   0    
263  1   8   11  104.05 201.86  1   1   1   0    
264  1   8   12  112.77 201.86  1   1   1   0    
265  1   8   13  121.49 201.86  1   1   1   0    
266  1   8   14  130.21 201.86  1   1   1   0    
267  1   8   15  138.93 201.86  1   1   1   0    
268  1   8   16  147.66 201.86  1   1   1   0    
269  1   8   17  156.38 201.86  1   1   1   0    
270  1   8   18  165.1  201.86  1   1   1   0    
271  1   8   19  173.82 201.86  1   1   1   0    
272  1   8   20  182.54 201.86  1   1   1   0    
273  1   8   21  191.26 201.86  1   1   1   0    
274  1   8   22  199.98 201.86  1   1   1   0    
275  1   8   23  208.7  201.86  1   1   1   0    
276  1   8   24  217.42 201.86  1   1   1   0    
277  1   8   25  226.14 201.86  1   1   1   0    
278  1   8   26  234.86 201.86  1   1   1   0    
279  1   8   27  243.59 201.86  1   1   1   0    
280  1   8   28  252.31 201.86  1   1   1   0    
281  1   8   29  261.03 201.86  1   1   1   0    
282  1   8   30  269.75 201.86  1   1   1   0    
283  1   8   31  278.47 201.86  1   1   1   0    
284  1   8   32  287.19 201.86  1   1   1   0    
285  1   8   33  295.91 201.86  1   1   1   0    
286  1   8   34  304.63 201.86  1   1   1   0    
287  1   8   35  313.35 201.86  1   1   1   0    
288  1   8   36  322.08 201.86  1   1   1   0    
289  1   9   1   16.84  226.88  1   1   1   0    
290  1   9   2   25.56  226.88  1   1   1   0    
291  1   9   3   34.28  226.88  1   1   1   0    
292  1   9   4   43     226.88  1   1   1   0    
293  1   9   5   51.72  226.88  1   1   1   0    
294  1   9   6   60.44  226.88  1   1   1   0    
295  1   9   7   69.17  226.88  1   1   1   0    
296  1   9   8   77.89  226.88  1   1   1   0    
