Number of robot passes: 
221

No Area Row Col.  X      Y     Put FGr Take Angle
127  1   10  10  240.36 167.89  1   1   1   0    
128  1   10  11  264.52 167.89  1   1   1   0    
129  1   10  12  288.68 167.89  1   1   1   0    
130  1   10  13  312.84 167.89  1   1   1   0    
131  1   11  1   22.92  183.23  1   1   1   0    
132  1   11  2   47.08  183.23  1   1   1   0    
133  1   11  3   71.24  183.23  1   1   1   0    
134  1   11  4   95.4   183.23  1   1   1   0    
135  1   11  5   119.56 183.23  1   1   1   0    
136  1   11  6   143.72 183.23  1   1   1   0    
137  1   11  7   167.88 183.23  1   1   1   0    
138  1   11  8   192.04 183.23  1   1   1   0    
139  1   11  9   216.2  183.23  1   1   1   0    
140  1   11  10  240.36 183.23  1   1   1   0    
141  1   11  11  264.52 183.23  1   1   1   0    
142  1   11  12  288.68 183.23  1   1   1   0    
143  1   11  13  312.84 183.23  1   1   1   0    
144  1   12  1   22.92  198.57  1   1   1   0    
145  1   12  2   47.08  198.57  1   1   1   0    
146  1   12  3   71.24  198.57  1   1   1   0    
147  1   12  4   95.4   198.57  1   1   1   0    
148  1   12  5   119.56 198.57  1   1   1   0    
149  1   12  6   143.72 198.57  1   1   1   0    
150  1   12  7   167.88 198.57  1   1   1   0    
151  1   12  8   192.04 198.57  1   1   1   0    
152  1   12  9   216.2  198.57  1   1   1   0    
153  1   12  10  240.36 198.57  1   1   1   0    
154  1   12  11  264.52 198.57  1   1   1   0    
155  1   12  12  288.68 198.57  1   1   1   0    
156  1   12  13  312.84 198.57  1   1   1   0    
157  1   13  1   22.92  213.91  1   1   1   0    
158  1   13  2   47.08  213.91  1   1   1   0    
159  1   13  3   71.24  213.91  1   1   1   0    
160  1   13  4   95.4   213.91  1   1   1   0    
161  1   13  5   119.56 213.91  1   1   1   0    
162  1   13  6   143.72 213.91  1   1   1   0    
163  1   13  7   167.88 213.91  1   1   1   0    
164  1   13  8   192.04 213.91  1   1   1   0    
165  1   13  9   216.2  213.91  1   1   1   0    
166  1   13  10  240.36 213.91  1   1   1   0    
167  1   13  11  264.52 213.91  1   1   1   0    
168  1   13  12  288.68 213.91  1   1   1   0    
169  1   13  13  312.84 213.91  1   1   1   0    
170  1   14  1   22.92  229.25  1   1   1   0    
171  1   14  2   47.08  229.25  1   1   1   0    
172  1   14  3   71.24  229.25  1   1   1   0    
173  1   14  4   95.4   229.25  1   1   1   0    
174  1   14  5   119.56 229.25  1   1   1   0    
175  1   14  6   143.72 229.25  1   1   1   0    
176  1   14  7   167.88 229.25  1   1   1   0    
177  1   14  8   192.04 229.25  1   1   1   0    
178  1   14  9   216.2  229.25  1   1   1   0    
179  1   14  10  240.36 229.25  1   1   1   0    
180  1   14  11  264.52 229.25  1   1   1   0    
181  1   14  12  288.68 229.25  1   1   1   0    
182  1   14  13  312.84 229.25  1   1   1   0    
183  1   15  1   22.92  244.59  1   1   1   0    
184  1   15  2   47.08  244.59  1   1   1   0    
185  1   15  3   71.24  244.59  1   1   1   0    
186  1   15  4   95.4   244.59  1   1   1   0    
187  1   15  5   119.56 244.59  1   1   1   0    
188  1   15  6   143.72 244.59  1   1   1   0    
189  1   15  7   167.88 244.59  1   1   1   0    
190  1   15  8   192.04 244.59  1   1   1   0    
191  1   15  9   216.2  244.59  1   1   1   0    
192  1   15  10  240.36 244.59  1   1   1   0    
193  1   15  11  264.52 244.59  1   1   1   0    
194  1   15  12  288.68 244.59  1   1   1   0    
195  1   15  13  312.84 244.59  1   1   1   0    
196  1   16  1   22.92  259.93  1   1   1   0    
197  1   16  2   47.08  259.93  1   1   1   0    
198  1   16  3   71.24  259.93  1   1   1   0    
199  1   16  4   95.4   259.93  1   1   1   0    
200  1   16  5   119.56 259.93  1   1   1   0    
201  1   16  6   143.72 259.93  1   1   1   0    
202  1   16  7   167.88 259.93  1   1   1   0    
203  1   16  8   192.04 259.93  1   1   1   0    
204  1   16  9   216.2  259.93  1   1   1   0    
205  1   16  10  240.36 259.93  1   1   1   0    
206  1   16  11  264.52 259.93  1   1   1   0    
207  1   16  12  288.68 259.93  1   1   1   0    
208  1   16  13  312.84 259.93  1   1   1   0    
209  1   17  1   22.92  275.27  1   1   1   0    
210  1   17  2   47.08  275.27  1   1   1   0    
211  1   17  3   71.24  275.27  1   1   1   0    
212  1   17  4   95.4   275.27  1   1   1   0    
213  1   17  5   119.56 275.27  1   1   1   0    
214  1   17  6   143.72 275.27  1   1   1   0    
215  1   17  7   167.88 275.27  1   1   1   0    
216  1   17  8   192.04 275.27  1   1   1   0    
217  1   17  9   216.2  275.27  1   1   1   0    
218  1   17  10  240.36 275.27  1   1   1   0    
219  1   17  11  264.52 275.27  1   1   1   0    
220  1   17  12  288.68 275.27  1   1   1   0    
221  1   17  13  312.84 275.27  1   1   1   0    
