Order Name,Action,  Machine State  ,Insert Counter,Time
W0804_CC,Time Frame,Stop,12672,00:00
W0804_CC,Time Frame,Stop,12672,00:10
W0804_CC,Time Frame,Stop,12672,00:20
W0804_CC,Time Frame,Stop,12672,00:30
W0804_CC,Time Frame,Stop,12672,00:40
W0804_CC,Time Frame,Stop,12672,00:50
W0804_CC,Time Frame,Stop,12672,01:00
W0804_CC,Time Frame,Stop,12672,01:10
W0804_CC,Time Frame,Stop,12672,01:20
W0804_CC,Time Frame,Stop,12672,01:30
W0804_CC,Time Frame,Stop,12672,01:40
W0804_CC,Time Frame,Stop,12672,01:50
W0804_CC,Time Frame,Stop,12672,02:00
W0804_CC,Time Frame,Stop,12672,02:10
W0804_CC,Time Frame,Stop,12672,02:20
W0804_CC,Time Frame,Stop,12672,02:30
W0804_CC,Time Frame,Stop,12672,02:40
W0804_CC,Time Frame,Stop,12672,02:50
W0804_CC,Time Frame,Stop,12672,03:00
W0804_CC,Time Frame,Stop,12672,03:10
W0804_CC,Time Frame,Stop,12672,03:20
W0804_CC,Time Frame,Stop,12672,03:30
W0804_CC,Time Frame,Stop,12672,03:40
W0804_CC,Time Frame,Stop,12672,03:50
W0804_CC,Time Frame,Stop,12672,04:00
W0804_CC,Time Frame,Stop,12672,04:10
W0804_CC,Time Frame,Stop,12672,04:20
W0804_CC,Time Frame,Stop,12672,04:30
W0804_CC,Time Frame,Stop,12672,04:40
W0804_CC,Time Frame,Stop,12672,04:50
W0804_CC,Time Frame,Stop,12672,05:00
W0804_CC,Time Frame,Stop,12672,05:10
W0804_CC,Time Frame,Stop,12672,05:20
W0804_CC,Time Frame,Stop,12672,05:30
W0804_CC,Time Frame,Stop,12672,05:40
W0804_CC,Time Frame,Stop,12672,05:50
W0804_CC,Time Frame,Stop,12672,06:00
W0804_CC,Time Frame,Stop,12672,06:10
W0804_CC,Time Frame,Stop,12672,06:20
